partyfacts_id,parlgov_id,partyfacts_name,partyfacts_country,facebook_handle,twitter_handle,JE Comments
7030,806,SKP,FIN,suomenkommunistinenpuolue,Kommunistit,
1177,2078,AC,FRA,alliancecentriste,AllianceC,
496,509,MoDem,FRA,mouvementdemocrate,MoDem,
7342,2732,Gs,FRA,GenerationsLeMvt,GenerationsMvt,
61,1131,BP,DEU,Bayernpartei,Bayernpartei,
211,1727,CDU/CSU,DEU,cducsubundestagsfraktion,cducsubt,
7346,2744,E-OAD,GRC,elladaoallosdromos,,
2508,2167,KEK,GRC,kommaellinonkinigon,,
8242,N/A,AAA / S,IRL,solidarityie,solidarityie,Has only run in coalitions.
4,2217,SF,IRL,sinnfein,sinnfeinireland,
1448,1014,SP,IRL,SocialistPartyIreland,SocialistParty,
1978,N/A,ULA,IRL,UnitedLeftAlliance,,Alliance that was formed to contest 2011 election. Hasn't existed since/before then.
8361,N/A,Art.1,ITA,Articolo1Modempro,articoloUnoMDP,Has only run in coalitions.
8244,N/A,CPI,ITA,casapounditalia,CasaPoundItalia,This is a very small party and I can't find it on ParlGov.
8248,1296,RI,ITA,radicali,Radicali,
394,93,PRI,ITA,PartitoRepubblicanoItalianoOFFICIAL,,
772,502,PP,ITA,famigliapensionati,part_pensionati,
365,596,IPdL,ITA,IlPopolodellaLiberta2018,,
7671,N/A,IEI,ITA,insieme2018,insieme2018,2018 coalition.
5657,1520,LKS/RSL,LVA,rusojuz,,
7619,521,NA,LVA,NacionalaApvieniba,VL_TBLNNK,
-99999999,N/A,N/A,AUT,EuropaAnders,EuropaAnders,Alliance for EU elections.
-99999999,2810,M!,HRV,mozemo.hr,mozemoHR,
-99999999,N/A,N/A,HRV,narodnakoalicija,,Coalition
-99999999,N/A,N/A,HRV,novaljevica.hr,NLjevica,Have only run as a coalition with other parties -- not listed as independent party
-99999999,N/A,N/A,HRV,hrsuverenisti,suverenisti,"Not sure about this one, can't find it anywhere."
-99999999,N/A,N/A,CZE,narodnidemokracie,NarDemokracie,Seems to never have run independently
-99999999,N/A,N/A,FRA,resistonsfrance,ResistonsFrance,Banner for a single politician
-99999999,N/A,N/A,FRA,solidariteetprogres,SetP_officiel,"Not sure about this one, can't find it anywhere."
-99999999,1235,N/A,DEU,FamilienParteiDeutschlands,,
-99999999,2596,N/A,GRC,plefsieleftherias,pl_eleftherias,
-99999999,N/A,N/A,GRC,PiratePartyGR,PiratepartyGR,"Not sure about this one, can't find it anywhere."
-99999999,N/A,N/A,GRC,metopo,epamhellas,"Not sure about this one, can't find it anywhere."
-99999999,N/A,N/A,GRC,koinwnia,koinwnia,"Not sure about this one, can't find it anywhere."
-99999999,N/A,N/A,GRC,eek.trotskistes,,"Not sure about this one, can't find it anywhere."
-99999999,N/A,N/A,HUN,AHazaPartja,,"Not sure about this one, can't find it anywhere."
429,1794,TEE,EST,iseseisvuspartei,,
604,723,CD&V,BEL,cdenv,cdenv,
1968,993,VB,BEL,vlbelang,vlbelang,
1793,535,Attack,BGR,ataka.pobeda,,
757,982,BSP,BGR,BulgarianSocialistParty,BSP_Bulgaria,
6115,N/A,OP,BGR,obedinenipatrioti,,Have only run as a coalition (in 2017) and ParlGov does not list them as an independent party.
7422,2770,NHR,HRV,NHRvatsku,,
333,749,Fobe,DNK,FolkebevaegelsenModEU,Folkebevagelsen,
4094,417,EKRE,EST,rahvuspartei,,
5650,873,EELV,FRA,eelv.fr,EELV,
1629,1414,CNIP,FRA,CNIPGrandEst,CNIP_FR,
6684,N/A,NPA,FRA,npa2009,NPA_officiel,Ran a candidate in presidential elections but not parliament.
7344,2734,UPR,FRA,upr.francoisasselineau,UPR_Officiel,
8168,658,LR,FRA,les.Republicains.FR,lesRepublicains,
749,301,Tier,DEU,Tierschutzpartei,Tierschutzparte,
7909,N/A,KINAL,GRC,kinimallagis,kinimallagis,This is an electoral alliance -- ParlGov lists the parties included as independent parties.
7349,2745,MHM,HUN,mihazank,MiHazank,
8265,N/A,√ñ,HUN,osszefogas.spolupatricnost,,Electoral alliance formed to contest the 2014 elections.
3209,2371,DDI,IRL,directdemocracyireland,ddi,
1055,280,FF,IRL,fiannafail,fiannafailparty,
1288,1393,FG,IRL,FineGael,FineGael,
1775,1573,Greens,IRL,GreenPartyIreland,greenparty_ie,
562,318,Lab,IRL,thelabourparty,labour,
242,1804,PBPA,IRL,peopleb4profit,pb4p,
4869,2620,RI,IRL,renuairl,RENUAIreland,
4870,2619,DS,IRL,socialdemocratsireland,SocDems,
208,433,WP,IRL,workerspartyireland,workersparty,
8058,596,FI,ITA,ForzaItaliaUfficiale,forza_italia,
8246,465,LeU,ITA,liberieuguali2018,liberi_uguali,
8057,1048,IBC,ITA,italiaincomune,ItaliainComune,
2052,2268,NCD,ITA,emanuele.esposito.3939503,,
6685,N/A,TSIPRAS,ITA,AltraEuropaConTsipras,altraeuropa,Ran in an electoral alliance in EP election of 2014 - not listed as independent party
6158,N/A,NcI,ITA,NoiconlitaliaOfficial,noiconitalia,I have no idea what this party is -- this partyfacts ID doesn't lead to anything and I can't find it on ParlGov either.
8393,N/A,AP!,LVA,Attistibai.Par,AttistibaiPar,Alliance
5976,1100,SDPS,LVA,sdpsLV,,
377,432,LTS,LTU,tautininkai,,
62,360,AD,MLT,alternattiva,adpd_mt,
7354,2759,PD,MLT,PartitDemokratiku,Demokratiku,
808,1003,MLP,MLT,partitlaburista,PL_Malta,
699,984,PN,MLT,partitnazzjonalista,PNmalta,
1477,2731,APNI,NIR,alliancepartyni,allianceparty,
335,319,DUP,NIR,democraticunionistparty,,
694,N/A,NIC,NIR,niconservatives,NIConservative,Section of England's Conservatives.
642,N/A,PUP,NIR,ProgressiveUnionistPartyNi,officialPUP,Can't find on ParlGov
963,689,SF,NIR,sinnfein,,
762,1023,SDLP,NIR,SocialDemocraticLabourParty,,
1763,1210,UUP,NIR,ulsterunionistparty,uuponline,
3698,1638,DT,NOR,Roedt,Raudt,
328,2372,SP,POL,solidarnapl,SolidarnaPL,
7357,2756,A,PRT,partidoalianca,Partido_Alianca,
886,1535,PEV,PRT,PartidoEcologistaOsVerdes,OsVerdes,
1373,792,PER,ROU,PartidulESR,,
7360,2750,KU,SVK,KrestanskaUniaOfficial,,
3208,2389,PaS,SVK,pisorgpl,pisorgpl,
8177,2752,Spolu,SVK,stranaspolu,StranaSPOLU,
7363,2755,Pose,SVN,povezimo.se,povezimo_se,
7362,2754,DOM,SVN,domovinskaliga,DomovinskaLiga,
3220,2386,S,SVN,solidarnost.si,Solidarnost_si,
5853,771,CEP,ESP,ceuscoalition,CEUScoalition,
586,N/A,PSC-PSOE,ESP,PSC,socialistes_cat,Local party branch
7421,2605,JxCat,ESP,JxCatalunya,JuntsXCat,
1485,721,PP,SWE,piratpartiet,piratpartiet,
1477,2731,All,NIR,alliancepartyni,allianceparty,
8360,433,PO,IRL/NIR,workerspartyireland,workersparty,
