country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments
DEU,Pirat,1287,German Pirate Party,339089,Piratenpartei,Germany,2009,9999,2.2,2013,,TRUE,TRUE,TRUE,TRUE,Piratenpartei,,,
DEU,SPD,383,Social Democratic Party of Germany,339048,SPD,Germany,1875,9999,45.8,1972,x,TRUE,TRUE,TRUE,FALSE,,,,
DEU,Linke,1545,The Left,339050,linkspartei,Germany,2007,9999,5.1,1998,,TRUE,TRUE,TRUE,TRUE,dieLinke,,,
DEU,PARTEI,6126,THE PARTY,519717,DiePARTEI,Germany,2004,9999,1,2017,,TRUE,TRUE,TRUE,TRUE,DiePARTEI,,,
DEU,Rep,720,The Republicans,12045799,Republikaner.SBK,Germany,1983,9999,2.1,1990,,TRUE,TRUE,TRUE,FALSE,,,,
GRC,SYRIZA,301,Coalition of the Radical Left,925326,syrizaofficial,Greece,2004,9999,36.3,2015,,TRUE,TRUE,TRUE,TRUE,syriza_gr,,,
GRC,DIMAR,1160,Democratic Left,11959521,dimokratikiaristera,Greece,2010,9999,6.3,2012,,TRUE,TRUE,TRUE,TRUE,dimokratiki,,,
GRC,OP,378,Ecologist Greens,7049854,Oikologoi.Prasinoi,Greece,2007,9999,2.9,2012,,TRUE,TRUE,TRUE,TRUE,Ecogreens,,,
GRC,EL,7347,Greek Solution,8375446,ellinikilisi,Greece,2016,9999,3.7,2019,,TRUE,TRUE,TRUE,TRUE,ellinikilisi,,,
GRC,ANEL,1651,Independent Greeks,1439616,OfficialAnexartitoiEllines,Greece,2012,9999,10.6,2012,,TRUE,TRUE,TRUE,TRUE,anexartitoi,,,
GRC,KINAL,7909,Movement for Change,7658259,kinimallagis,Greece,2017,9999,8.1,2019,,TRUE,TRUE,TRUE,TRUE,kinimallagis,,,
GRC,ND,794,New Democracy,385960,neadhmokratia,Greece,1974,9999,54.4,1974,,TRUE,TRUE,TRUE,TRUE,neademokratia,,,
GRC,LAOS,965,Popular Orthodox Rally,11959524,organotikoLaos,Greece,2004,9999,5.6,2009,,TRUE,TRUE,TRUE,FALSE,,,,
GRC,LE,4512,Popular Unity,11959523,LaikiEnotitaOfficial,Greece,2015,9999,2.9,2015,,TRUE,TRUE,TRUE,FALSE,,,,
GRC,DX,471,Recreate Greece,12065213,dimiourgiaxana,Greece,2012,9999,2.1,2012,,TRUE,TRUE,TRUE,TRUE,DimiourgiaXana,,,
GRC,TP,3118,The River,398458,topotami,Greece,2014,9999,6,2015,,TRUE,TRUE,TRUE,TRUE,ToPotami,,,
GRC,EK,2510,Union of Centrists,1446549,enosikentroon.vasilisleventis,Greece,1992,9999,1.8,2015,,TRUE,TRUE,TRUE,TRUE,antidiaploki,,,
HUN,DK,469,Democratic Coalition,408746,dk365,Hungary,2011,9999,2.8,2014,,TRUE,TRUE,TRUE,TRUE,dkoalicio,,,
HUN,MM,859,Hungarian Communist Workers' Party,2856705,m.munkaspart,Hungary,1989,9999,4,1998,,TRUE,TRUE,TRUE,TRUE,Munkaspart,,,
