country,name_short,partyfacts_id,name_english_x,page_id,handle,country_left,year_first,year_last,share,share_year,see_comments,data_collected,active_2010_or_after,facebook_handle_found,twitter_handle_TF,twitter_handle,D_comments,J_comments,T_comments,twitter_handle_lower,author_id
CHE,KK/CVP,1808,Catholic Conservative / Christian Democratic Peoples Party,466984,CVP.PDC.PPD.PCD,Switzerland,1912,9999,23.4,1963,NA,TRUE,TRUE,TRUE,TRUE,Mitte_Centre,NA,"Merged with BDP (below) in January 2021. Both FB and Twitter accounts no longer exist (links broken), but maybe the data is still out there somehow?",NA,mitte_centre,172375021
AUT,KPO,996,Communist Party of Austria,NA,kpoe.at,Austria,1945,9999,5.4,1945,NA,FALSE,TRUE,TRUE,TRUE,KPOE_EL,NA,NA,NA,kpoe_el,47436725
AUT,GILT,6138,My Vote Counts!,NA,GiltOesterreich,Austria,2017,2017,1,2017,NA,FALSE,TRUE,TRUE,TRUE,GILTofficial,NA,NA,NA,giltofficial,801505086090383400
AUT,PILZ,6137,Peter Pilz List,NA,jetzt.de,Austria,2017,2017,4.4,2017,x,FALSE,TRUE,TRUE,TRUE,jetzt,"According to wiki, this party is now Jetzt",NA,NA,jetzt,7014182
AUT,Fritz,439,The Citizens`Forum Austria,NA,listefritz,Austria,2008,9999,1.8,2008,NA,FALSE,TRUE,TRUE,TRUE,ListeFritz,NA,NA,NA,listefritz,193219787
BEL,Ecolo,1563,Confederated ecologists for the organisation of original struggles,NA,ecolo,Belgium,1979,9999,7.3,1999,NA,FALSE,TRUE,TRUE,TRUE,Ecolo,NA,NA,NA,ecolo,14514457
BEL,FDF,698,Front Démocratique des Francophones / DéFI,NA,DemocrateFederalisteIndependant,Belgium,1964,9999,5,1974,NA,FALSE,TRUE,TRUE,TRUE,defi_eu,NA,NA,NA,defi_eu,126026083
BEL,CDH,2338,Humanist Democratic Centre,NA,lecdh,Belgium,2002,9999,5.9,1999,NA,FALSE,TRUE,TRUE,TRUE,lecdh,NA,NA,NA,lecdh,236561299
BEL,FN,191,National Front,NA,DemocratieNationale,Belgium,1985,2012,2.3,1995,x,FALSE,TRUE,TRUE,TRUE,DNatbe,"Accroding to the Wiki for the National Front, they are now National Democracy, so I put that FB handle here",NA,NA,dnatbe,440706106
HRV,CL-LP,3143,Croatian Labourists – Labour Party,NA,laburisti,Croatia,2010,9999,4.2,2011,NA,FALSE,TRUE,TRUE,TRUE,LaburistiHR,NA,NA,NA,laburistihr,707593432445952e3
HRV,HSLS,214,Croatian Social Liberal Party,NA,LiberaliHSLS,Croatia,1989,9999,4.1,2003,NA,FALSE,TRUE,TRUE,TRUE,LiberaliHSLS,NA,NA,NA,liberalihsls,1224338372686229500
HRV,IDS,513,Istrian Democratic Assembly,NA,idsddi,Croatia,2000,9999,1.5,2007,NA,FALSE,TRUE,TRUE,TRUE,IDSDDI,NA,NA,NA,idsddi,80514014
HRV,AM,3136,Youth Action,NA,akcijamladih,Croatia,2005,9999,1.5,2013,NA,FALSE,TRUE,TRUE,TRUE,AkcijaMladih,NA,NA,NA,akcijamladih,32403819
CZE,CSSD,177,Czech Social Democratic Party,NA,cssdcz,Czech Republic,1990,9999,32.3,2006,NA,FALSE,TRUE,TRUE,TRUE,CSSD,NA,NA,NA,cssd,18318781
CZE,H,7337,Voice,NA,hnutihlas,Czech Republic,2019,2019,2.4,2019,NA,FALSE,TRUE,TRUE,TRUE,hnutihlas,NA,NA,NA,hnutihlas,1091811489692962800
EST,ER,821,Estonian Reform Party,NA,reformierakond,Estonia,1994,9999,28.6,2011,NA,FALSE,TRUE,TRUE,TRUE,reformikad,NA,NA,NA,reformikad,68644850
FIN,SKP,7030,Communist Party of Finland,NA,suomenkommunistinenpuolue,Finland,1984,9999,11.2,1995,NA,FALSE,TRUE,TRUE,TRUE,Kommunistit,NA,NA,NA,kommunistit,328679706
FIN,KOK,495,National Coalition Party,NA,kokoomus,Finland,1927,9999,23.1,1987,NA,FALSE,TRUE,TRUE,TRUE,kokoomus,NA,NA,NA,kokoomus,22360764
FIN,UV/SIN,5859,New Alternative / Blue Reform,NA,SininenTulevaisuusRp,Finland,2017,9999,1,2019,NA,FALSE,TRUE,TRUE,TRUE,SinisetRp,NA,NA,NA,sinisetrp,876484109219921900
FRA,AC,1177,Centrist Alliance,NA,alliancecentriste,France,2009,9999,0.6,2012,NA,FALSE,TRUE,TRUE,TRUE,AllianceC,NA,NA,NA,alliancec,115030163
FRA,MDC/PR,3156,Citizens' Movement / Republican Alliance,NA,mouvementrepublicainetcitoyen,France,1993,9999,2.8,1997,NA,FALSE,TRUE,TRUE,TRUE,MRC_France,NA,NA,NA,mrc_france,574650777
FRA,MoDem,496,Democratic Movement,519719,mouvementdemocrate,France,2007,9999,7.6,2007,NA,FALSE,TRUE,TRUE,TRUE,MoDem,NA,NA,NA,modem,18387196
FRA,Gs,7342,"Generation.s, the movement",NA,GenerationsLeMvt,France,2017,9999,3.3,2019,NA,FALSE,TRUE,TRUE,TRUE,GenerationsMvt,NA,NA,NA,generationsmvt,831205999688179700
FRA,NC,1255,New Centre,NA,LesCentristesFr,France,2007,9999,2.4,2007,NA,FALSE,TRUE,TRUE,TRUE,LesCentristes_,NA,NA,NA,lescentristes_,34224009
DEU,BP,61,Bavarian Party,NA,Bayernpartei,Germany,1946,9999,4.2,1949,NA,FALSE,TRUE,TRUE,TRUE,Bayernpartei,NA,NA,NA,bayernpartei,52745493
DEU,CDU,1375,Christian Democratic Union,NA,CDU,Germany,1949,9999,39.7,1957,NA,FALSE,TRUE,TRUE,TRUE,CDU,NA,NA,NA,cdu,20429858
GRC,SYN,516,Coalition of the Left,NA,synaspismosGR,Greece,1989,2013,13.1,1989,NA,FALSE,TRUE,TRUE,TRUE,Synaspismos,NA,NA,NA,synaspismos,18014884
GRC,KIDISO,3212,Movement of Democratic Socialists,NA,KinimaDimokratonSosialiston,Greece,2015,9999,2.5,2015,NA,FALSE,TRUE,TRUE,TRUE,tokinima,NA,NA,NA,tokinima,2957082293
HUN,KDNP,1412,Christian Democratic People's Party,NA,kdnphu,Hungary,1944,9999,7,1994,NA,FALSE,TRUE,TRUE,TRUE,kdnphu,NA,NA,NA,kdnphu,116860853
HUN,LMP,1650,Politics Can Be Different,NA,lehetmas,Hungary,2010,9999,7.5,2010,NA,FALSE,TRUE,TRUE,TRUE,lehet_mas,NA,NA,NA,lehet_mas,33442154
