partyfacts_id,parlgov_id,country,handle,facebook_id,year,total_posts,total_likes,total_shares,total_comments,twitter_handle,author_id,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt,mean_vote_share,mean_seats,seats_total,cabinet_party_max,prime_minister_max,left_right,populist,farright,farleft,poppa_populism_mean,gps_populism,...29,gdp_growth,pop_growth,pop,net_migr,unemp_nat,unemp_ilo,refugee,tax_gdp,income_l20,trade_gdp,gdp,internet_adoption,socialmedia,refugee_change,everyday_social_networks_imputed,election_year,keep,left_right_s,poppa_populism_s,gps_populism_s,gdp_s,pop_s,everyday_social_networks_imputed_s,gdp_growth_s,net_migr_s,refugee_s,refugee_change_s,seats_per,twitter_active,facebook_active,duration,years_observed,populist_cat
764,16,SVN,strankasls,2994737,2018,450,21638,3346,3420,strankasls,135589298,320,2511,1285,178,319,2.62,0,90,1,0,6.6953,0,0,0,NA,NA,310,4.076316305,0.362584395,2073894,7559,5.126,5.11,746,18.52078685,10.1,161.1424034,23483.52912,79.7499766,44.19,135,44.19,1,2,0.29290518325759024,NA,NA,0.6503588813383391,0.20946200414841087,0.6167646833677085,0.49620604477363456,0.35097107611927025,0.6156366467144517,0.4480101681081642,0,1,1,7,9,np
764,16,SVN,strankasls,2994737,2019,766,22055,5435,3065,strankasls,135589298,394,3822,2010,356,659,2.62,0,90,1,0,6.6953,0,0,0,NA,NA,311,2.804350414,0.696304046,2088385,7427,4.453,4.45,741,18.31594165,10.1,158.6384669,24142.08957,83.1083578,44.2,-5,44.2,0,2,0.29290518325759024,NA,NA,0.8764154391315037,0.6689972577820665,0.6173791448500304,0.2834183433242207,0.33350072978655926,0.605895560532261,-0.2836289187280743,0,1,1,8,9,np
764,16,SVN,strankasls,2994737,2020,682,15689,5095,2955,strankasls,135589298,372,6497,3444,446,622,2.62,0,90,1,0,6.6953,0,0,0,NA,NA,312,-4.880091909,0.669754656,2102419,7681,4.991,4.97,823,16.87632939,10.3,146.5862926,22963.93341,86.60130109,NA,82,43.2876843018552,0,2,0.29290518325759024,NA,NA,0.472003169806171,1.1140402326971672,0.5613208592272939,-1.0021151999897677,0.36711791136616984,0.7656493739201883,0.17103251380587392,0,1,1,9,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2012,3,6,0,0,NA,NA,-1,NA,NA,NA,NA,0,4,135,0,0,2.5,0,0,0,NA,NA,208,5.246002459,-1.341201988,2987773,-24664,13.365,13.36,871,15.52996015,6.5,155.8431607,12678.69269,67.22998933,27.8,47,27.8,0,1,-0.5679862797556858,NA,NA,-0.4192709232329617,0.3865576058061293,-0.45702551337055014,0.19273101018971095,-0.45448225186987695,-0.45662496206393244,-0.31177316824588763,2.9629629629629632,0,1,1,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2013,181,276,137,8,NA,NA,-1,NA,NA,NA,NA,0,4,135,0,0,2.5,0,0,0,NA,NA,209,4.603327729,-1.012007368,2957689,-22781,11.77,11.77,918,15.60121464,6.7,155.8867909,13262.33446,68.4529,32.7,47,32.7,0,1,-0.5679862797556858,NA,NA,-0.2788039672848911,0.23955014386339205,-0.2475650173125156,0.03625345599328026,-0.28335534979787624,-0.40088113552625754,-0.31177316824588763,2.9629629629629632,0,1,2,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2014,284,1923,566,116,NA,NA,-1,NA,NA,NA,NA,0,4,135,0,0,2.5,0,0,0,NA,NA,210,4.431087654,-0.859827343,2932367,-20883,10.698,10.7,1007,15.83633785,6,142.7216428,13850.00013,72.13,32.8,89,32.8,0,1,-0.5679862797556858,NA,NA,-0.13736856628526178,0.11581251085867214,-0.24329031331133147,-0.005683319194083753,-0.11086524882461157,-0.2953236767634264,-0.060395849346062014,2.9629629629629632,0,1,3,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2015,267,2054,477,95,NA,NA,-1,NA,NA,NA,NA,0,4,135,0,0,2.5,0,0,0,NA,NA,211,2.988912971,-0.940753797,2904910,-18912,9.12,9.12,1094,16.69486269,6.1,138.5523173,14263.96458,71.37805901,38.4,87,38.4,0,1,-0.5679862797556858,NA,NA,-0.03773840074344802,-0.018357941294024887,-0.003906889245006327,-0.35682201593396157,0.06825908680147097,-0.19213829572560273,-0.07236619786510133,2.9629629629629632,0,1,4,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2016,238,5066,1318,363,NA,NA,-1,NA,NA,NA,NA,2.03,1,141,0,0,2.5,0,0,0,NA,NA,212,3.829841264,-1.270694533,2868231,-17334,7.862,7.86,1284,16.93159775,6,134.4538584,14810.25178,74.37664556,47.3,190,47.3,1,1,-0.5679862797556858,NA,NA,0.09373830980349401,-0.19759230828636834,0.3765417668604031,-0.1520739584784902,0.2116676112144381,0.03320908815010418,0.5441067508654234,0.7092198581560284,0,1,5,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2017,195,6042,797,476,NA,NA,-1,NA,NA,NA,NA,2.03,1,141,0,0,2.5,0,0,0,NA,NA,213,5.751046557,-1.398322201,2828403,-15937,7.073,7.07,1577,16.65064705,6.3,144.8733554,15661.99625,77.61525651,47.2,293,47.2,0,1,-0.5679862797556858,NA,NA,0.298730411288113,-0.39221447270118487,0.37226706285921896,0.31569844850237416,0.338626868885487,0.3807184748636943,1.160579699595948,0.7092198581560284,0,1,6,9,np
1407,21,LTU,lietuvoszaliujupartija,7050021,2018,136,4034,1208,562,NA,NA,-1,NA,NA,NA,NA,2.03,1,141,0,0,2.5,0,0,0,NA,NA,214,4.990353856,-0.954190459,2801543,-14451,6.147,6.15,1731,16.78390655,6.6,148.5947801,16443.58529,79.72258277,51.28,154,51.28,0,1,-0.5679862797556858,NA,NA,0.48683797811146534,-0.5234676447455249,0.5466749861075414,0.1304860419906745,0.4736744400373686,0.5633684596892673,0.32864047752271575,0.7092198581560284,0,1,7,9,np
