author_id,twitter_handle,year,total_tweets,total_likes_tw,total_retweets,total_replies,total_tweets_rt
21289183,keskusta,2019,1048,20382,2936,1804,1146
21289183,keskusta,2020,651,11813,1397,1849,1976
21289183,keskusta,2021,457,10306,1184,3614,583
21796893,SDLPlive,2009,92,0,0,0,NA
21796893,SDLPlive,2010,982,13,120,0,42
21796893,SDLPlive,2011,1922,43,691,59,226
21796893,SDLPlive,2012,1908,99,1235,173,605
21796893,SDLPlive,2013,1332,192,1242,522,243
21796893,SDLPlive,2014,2057,1587,3358,813,1812
21796893,SDLPlive,2015,1548,4389,6665,1077,949
21796893,SDLPlive,2016,1523,10048,9257,1336,1315
21796893,SDLPlive,2017,1212,24789,15524,2373,1625
21796893,SDLPlive,2018,1274,23937,10937,1967,1151
21796893,SDLPlive,2019,1121,40050,13293,3257,1387
21796893,SDLPlive,2020,699,49651,14752,2921,1046
21796893,SDLPlive,2021,323,26233,7598,1755,544
21845251,smersd,2010,23,6,2,1,NA
21845251,smersd,2011,2,0,0,1,NA
21845251,smersd,2013,8,5,6,3,3
21845251,smersd,2014,5,11,2,8,NA
21878991,strankaSDS,2010,576,0,7,0,NA
21878991,strankaSDS,2011,2298,233,565,526,171
21878991,strankaSDS,2012,2118,436,1101,1404,1036
21878991,strankaSDS,2013,3181,2043,4863,2413,1081
21878991,strankaSDS,2014,6734,11699,14179,3944,2234
21878991,strankaSDS,2015,6385,20715,15273,3198,712
21878991,strankaSDS,2016,9048,40985,28875,3721,983
21878991,strankaSDS,2017,3918,59720,40285,3522,2438
21878991,strankaSDS,2018,3193,86133,49871,3205,2566
21878991,strankaSDS,2019,3920,78692,51842,3268,3275
21878991,strankaSDS,2020,2125,107297,36657,5299,4881
21878991,strankaSDS,2021,1197,89391,24048,5527,2705
21994861,openvld,2009,239,5,4,0,18
21994861,openvld,2010,263,13,116,1,51
21994861,openvld,2011,164,13,180,66,81
21994861,openvld,2012,226,41,430,209,15
21994861,openvld,2013,936,443,1603,1081,451
21994861,openvld,2014,795,1796,2784,1201,617
21994861,openvld,2015,1024,2974,3217,1512,1072
21994861,openvld,2016,1382,6080,3718,2077,2075
21994861,openvld,2017,834,5762,2296,2259,2095
21994861,openvld,2018,832,11370,2459,4555,2979
21994861,openvld,2019,1210,16534,3932,8671,1587
21994861,openvld,2020,552,12882,2255,9572,431
21994861,openvld,2021,195,4518,633,6178,297
22007737,vihreat,2009,263,5,0,0,NA
22007737,vihreat,2010,439,14,200,0,18
22007737,vihreat,2011,130,15,205,6,42
22007737,vihreat,2012,80,7,104,23,34
22007737,vihreat,2013,369,149,496,134,74
22007737,vihreat,2014,1214,2920,3470,568,660
22007737,vihreat,2015,613,4544,3347,430,2139
22007737,vihreat,2016,602,7361,3493,502,745
22007737,vihreat,2017,1446,23112,7285,1155,753
22007737,vihreat,2018,970,23065,6538,1865,664
22007737,vihreat,2019,914,33324,5843,3401,433
22007737,vihreat,2020,742,23458,3798,6192,765
22007737,vihreat,2021,489,14663,2372,4153,652
22262225,Demarit,2009,143,4,1,0,NA
22262225,Demarit,2010,203,5,38,0,3
22262225,Demarit,2011,421,22,82,18,NA
22262225,Demarit,2012,893,47,163,73,5
22262225,Demarit,2013,667,184,560,191,134
22262225,Demarit,2014,590,1151,1923,447,770
22262225,Demarit,2015,511,2124,2480,572,1266
22262225,Demarit,2016,421,2237,1307,314,635
22262225,Demarit,2017,1095,10336,3655,707,740
